,plant-growth_abnorm,leafspots-halo_no-yellow-halos,leafspots-marg_w-s-marg,leafspot-size_gt-1/8,leaf-mild_absent,stem-cankers_absent,canker-lesion_dk-brown-blk,fruiting-bodies_absent,fruiting-bodies_present,external-decay_absent,int-discolor_brown,int-discolor_none,fruit-pods_diseased,fruit-pods_norm,fruit-spots_absent,fruit-spots_colored,mold-growth_absent,roots_rotted
0,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
1,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
2,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
3,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
4,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
5,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
6,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
7,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
8,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
9,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
10,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
11,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
12,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
13,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
14,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
15,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
16,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
17,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
18,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
19,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
20,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
21,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
22,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
23,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
24,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
25,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
26,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
27,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
28,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
29,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
30,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False
31,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
32,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
33,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
34,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
