class,date,plant-stand,precip,temp,crop-hist,area-damaged,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-malf,stem,stem-cankers,canker-lesion,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,roots
diaporthe-stem-canker,october,normal,gt-norm,norm,same-lst-yr,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,brown,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,august,normal,gt-norm,norm,same-lst-two-yrs,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,brown,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,july,normal,gt-norm,norm,same-lst-yr,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,dna,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,july,normal,gt-norm,norm,same-lst-yr,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,dna,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,october,normal,gt-norm,norm,same-lst-two-yrs,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,brown,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,september,normal,gt-norm,norm,same-lst-sev-yrs,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,dna,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,september,normal,gt-norm,norm,same-lst-two-yrs,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,brown,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,august,normal,gt-norm,norm,same-lst-yr,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,brown,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,october,normal,gt-norm,norm,same-lst-sev-yrs,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,brown,firm-and-dry,absent,none,absent,norm,norm
diaporthe-stem-canker,august,normal,gt-norm,norm,same-lst-two-yrs,scattered,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-sec-nde,brown,firm-and-dry,absent,none,absent,norm,norm
charcoal-rot,october,normal,lt-norm,gt-norm,same-lst-yr,whole-field,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,august,normal,lt-norm,norm,same-lst-yr,whole-field,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,july,normal,lt-norm,norm,same-lst-yr,upper-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,october,normal,lt-norm,norm,same-lst-sev-yrs,whole-field,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,october,normal,lt-norm,gt-norm,same-lst-yr,whole-field,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
